Waktu,PM10,PM2.5,SO2,CO,O3,NO2,HC,Critical Component
18 Juli 2022,24.4,0.0,13.6,16.3,14.8,12.5,12.6,PM10
19 Juli 2022,22.3,0.0,13.4,16.5,14.8,12.7,12.8,PM10
20 Juli 2022,23.7,0.0,13.4,16.5,14.8,12.7,12.8,PM10
21 Juli 2022,22.3,0.0,13.4,16.5,14.6,12.7,12.7,PM10
22 Juli 2022,20.1,0.0,13.6,16.5,14.6,12.7,12.7,PM10
23 Juli 2022,23.0,0.0,13.6,16.2,14.8,12.4,12.6,PM10
24 Juli 2022,23.7,0.0,13.2,15.5,15.2,11.6,12.1,PM10
25 Juli 2022,20.1,0.0,13.6,16.2,14.8,12.5,12.4,PM10
26 Juli 2022,21.5,0.0,13.4,16.5,14.6,12.8,12.6,PM10
27 Juli 2022,17.2,0.0,13.6,16.2,14.8,12.4,12.5,PM10
28 Juli 2022,21.5,0.0,13.6,16.5,14.6,12.7,12.7,PM10
29 Juli 2022,17.9,0.0,13.4,16.5,14.6,12.7,12.6,PM10
30 Juli 2022,25.2,0.0,13.4,16.2,14.8,12.5,12.5,PM10
31 Juli 2022,21.5,0.0,13.2,15.3,15.2,11.6,11.9,PM10
01 Agustus 2022,22.3,0.0,13.2,16.3,15.0,12.5,12.5,PM10
02 Agustus 2022,24.4,0.0,13.2,16.5,14.8,12.5,12.6,PM10
03 Agustus 2022,22.3,0.0,13.6,16.5,14.6,12.7,12.8,PM10
04 Agustus 2022,23.0,0.0,13.8,16.5,14.5,12.8,12.8,PM10
05 Agustus 2022,23.0,0.0,13.8,16.5,14.6,12.7,12.8,PM10
06 Agustus 2022,26.6,0.0,13.6,16.0,14.6,12.3,12.5,PM10
07 Agustus 2022,28.8,0.0,13.1,15.2,15.2,11.5,11.9,PM10
08 Agustus 2022,25.2,0.0,13.2,16.2,14.8,12.5,12.5,PM10
09 Agustus 2022,24.4,0.0,13.4,16.5,14.8,12.5,12.6,PM10
10 Agustus 2022,22.3,0.0,13.6,16.5,14.6,12.8,12.8,PM10
11 Agustus 2022,23.0,0.0,13.6,16.2,14.6,12.5,12.6,PM10
12 Agustus 2022,24.4,0.0,13.6,16.3,14.6,12.7,12.7,PM10
13 Agustus 2022,23.0,0.0,13.4,16.0,14.8,12.2,12.5,PM10
14 Agustus 2022,23.0,0.0,12.9,15.3,15.2,11.3,12.0,PM10
15 Agustus 2022,24.4,0.0,13.1,16.2,14.8,12.4,12.5,PM10
16 Agustus 2022,24.4,0.0,13.1,16.3,14.6,12.5,12.6,PM10
17 Agustus 2022,21.5,0.0,13.2,16.3,14.8,12.4,12.6,PM10
18 Agustus 2022,21.5,0.0,13.2,16.3,14.8,12.4,12.6,PM10
19 Agustus 2022,25.2,0.0,13.4,16.3,14.6,12.5,12.6,PM10
20 Agustus 2022,23.0,0.0,13.4,16.2,14.8,12.5,12.6,PM10
21 Agustus 2022,22.3,0.0,13.1,15.3,15.2,11.5,12.1,PM10
22 Agustus 2022,25.2,0.0,13.2,16.2,14.8,12.4,12.5,PM10
23 Agustus 2022,24.4,0.0,13.2,16.5,14.8,12.7,12.7,PM10
24 Agustus 2022,23.7,0.0,13.6,16.3,14.6,12.7,12.8,PM10
25 Agustus 2022,23.0,0.0,13.6,16.3,14.6,12.7,12.7,PM10
26 Agustus 2022,23.0,0.0,13.6,16.3,14.6,12.5,12.7,PM10
